,text
34,"Wishing Sikhs in the UK and around the world all the joy and happiness of Vaisakhi.  

Thank you for everything you do for our country. https://t.co/H6KLZzyUNk"
35,Congratulations to @CMShehbaz on his election as Prime Minister of Pakistan. The UK &amp; Pakistan have a longstanding relationship and our people share deep ties. I look forward to working together on areas of shared interest.
36,"I welcome the sentence given today. We will never allow those who commit acts of evil to triumph over democracy.

We will cherish Sir David Amess’ memory and continue his legacy. My thoughts remain with Julia, the rest of the Amess family and all those who knew and loved him. https://t.co/pVED3GzWgN"
37,"I've just spoken to @POTUS and updated him on my meeting with President @ZelenskyyUa in Kyiv this weekend.

Our joint focus remains on supporting President Zelenskyy and the Ukrainian people in their fight for freedom. 

Putin's barbaric venture cannot be allowed to succeed. https://t.co/qAewW0flHl"
38,"We know people are worried about the cost of living. We’re taking steps to support workers and families, including raising the National Living Wage and Minimum Wage, as well as helping jobseekers into employment through Way to Work. 2/2"
39,"Good news in today’s jobs stats: the number of employees on payrolls increased again in March, and unemployment has fallen further below pre-pandemic levels. 1/2"
40,"RT @10DowningStreet: The day after Russia invaded Ukraine, Magda Harvey started collections to help Ukrainians – and the response was overw…"
41,"Sir David Amess was a beloved colleague, public servant and friend who championed the city of Southend in everything he did. 

My thoughts today remain with Julia, the Amess family and all those who knew and loved him."
42,"The signing of the Belfast/Good Friday Agreement was not only a momentous moment for peace but has transformed Northern Ireland into the thriving and dynamic part of the UK we see today.  

24 years on this progress cannot be underestimated or undermined."
43,"The Ukrainians have the courage of a lion.

President @ZelenskyyUa has given the roar of that lion.

The UK stands unwaveringly with the people of Ukraine.

Slava Ukraini 🇬🇧 🇺🇦 https://t.co/u6vGYqmK4V"
44,"Today I met my friend President @ZelenskyyUa in Kyiv as a show of our unwavering support for the people of Ukraine.

We're setting out a new package of financial &amp; military aid which is a testament of our commitment to his country's struggle against Russia’s barbaric campaign. https://t.co/KNY0Nm6NQ3"
45,"Britain and Germany are horrified by Putin’s invasion and have agreed that our two countries must go further to help Ukraine.
 
The UK will send more defensive weapons to Ukraine and will work with G7 partners to target every pillar of the Russian economy to ensure Putin fails. https://t.co/fADOdMDERo"
46,"We stand with Ukraine. 

Wir stehen fest an der Seite der Ukraine.

Сполучене Королівство стає разом з Україною. https://t.co/vOPfUBebWF"
47,"RT @10DowningStreet: NEW: The UK will provide more military aid to Ukraine. 

This package amounts to £100 million, and will help Ukraine d…"
48,WATCH LIVE: Press Conference with @BundesKanzler. https://t.co/KC2ot4K0vj
49,"RT @pritipatel: Sabina Nessa lost her life due to the harrowing &amp; callous actions of a man who’s rightly now behind bars. 

While I can’t p…"
50,"Ich freue mich heute @Bundeskanzler Scholz wilkommen zu heissen. 

Ich begrüße seine prinzipientreue Haltung &amp; Enschlossenheit, die Abhängigkeit von russischer Energie zu beenden. Wie wir auf die russische Invasion reagieren, wird die internationale Ordnung auf Jahre bestimmen."
51,"Looking forward to welcoming @BundesKanzler Scholz to the UK today.
 
I welcome his principled determination to end dependence on Russian energy. How we respond to Russia’s invasion will define the international order for years to come. We cannot let Putin’s crimes go unpunished."
52,"I salute the Polish people for all they are doing to support Ukraine. 

The UK stands with you and shares your determination to help Ukraine diplomatically, politically, economically and militarily.

Solidarność 🇬🇧 🇺🇦 🇵🇱 https://t.co/jwTnxPteor"
53,"RT @Conservatives: We're getting on with the job.

🎥 Watch our latest party election broadcast 👇 https://t.co/3NRzWqX2yB"
54,"We cannot allow our country to be dependent on Russian oil &amp; gas. 

An important part of the British Energy Security Strategy is our plan to deliver eight new nuclear reactors, the equivalent of one a year, powering millions of homes with clean, safe, and reliable nuclear energy. https://t.co/G5qEH8bN2k"
55,"Nuclear is a reliable, safe and constant source of clean energy. It’s absolutely crucial to weaning us off fossil fuels, including Russian oil and gas. 
 
Hinkley Point C will generate low-carbon electricity for six million homes. https://t.co/EXqJs5zIgV"
56,"For years, governments have dodged the big decisions on energy, but not this one.

Our Energy Security Strategy sets out our plans to make British energy cleaner, more affordable and more secure. https://t.co/BQwuR4FawV"
57,"The Health &amp; Social Care Levy will bust the Covid backlogs, deliver millions more checks, tests and operations and fix our social care system.

New diagnostic centres and surgical hubs are already reducing waiting times, as we make sure our NHS is fit for the future. https://t.co/VrBO5b0pwJ"
58,"RT @BorisJohnson: The Health and Social Care Levy will raise billions for our NHS to tackle the COVID backlogs, reduce waiting times and de…"
59,"Today the UK steps up its stringent package of sanctions on Putin’s regime. 

We will not let Russia's appalling crimes go unnoticed or unpunished. 

Ukraine must prevail. https://t.co/mOHDpDtGeB"
60,"The Health and Social Care Levy will tackle the Covid backlogs, delivering millions of extra tests, scans and procedures.
 
We need to address these waiting lists, and help our NHS to see more patients. https://t.co/9bLA5IhATh"
61,"The Health and Social Care Levy will raise billions for our NHS to tackle the COVID backlogs, reduce waiting times and deliver millions more checks, scans and operations. 

It will also help recruit more fantastic nurses such as Bryony. https://t.co/iuiGtOBOEH"
62,"To the Russian people, look at what is being done in your name.  

You deserve the truth. You deserve the facts. https://t.co/sqDxvGnTnp"
63,"Well done Amelia.
Da iawn Amelia.
Молодець, Амеліє. https://t.co/m0UeT7qqB6"
64,"RT @10DowningStreet: Ukrainians continue to courageously defend their homeland.

The UK continues to do everything we can to support Ukrain…"
65,"RT @KwasiKwarteng: Offshore wind is a major British success story

✅ 2nd largest capacity in the world
✅ Costs down 65% in 5 years
✅ Wind c…"
66,"The discovery of more mass graves outside Kyiv is sickening. The UK will not stand by whilst this indiscriminate and unforgivable slaughter takes place.
 
We are working to ensure those responsible are held to account.
 
We will not rest until justice is done."
67,RT @KwasiKwarteng: Britain's offshore wind industry is booming. We are determined to ensure our workforce and supply chain can fully share…
68,"73 years ago today the founding members of @NATO came together, united by a shared belief in liberty and sovereignty. That conviction endures today. 
 
The people of Ukraine are fighting for that same freedom. We will continue to work with our allies to ensure Putin fails."
69,"Putin will never break the spirit of Ukraine’s people or conquer their homeland.

Ukraine will rise again and take her place among free and sovereign nations once more.

🇬🇧🇺🇦 https://t.co/0VWziRkRGO"
70,"The UK has been at the forefront of supporting the @IntlCrimCourt’s investigation into atrocities committed in Ukraine, and @DominicRaab  has authorised additional financial support and the deployment of specialist investigators – we will not rest until justice is served. 4/4"
71,"I will do everything in my power to starve Putin’s war machine. We are stepping up our sanctions and military support, as well as bolstering our humanitarian support package to help those in need on the ground. 3/4"
72,"No denial or disinformation from the Kremlin can hide what we all know to be the truth – Putin is desperate, his invasion is failing, and Ukraine’s resolve has never been stronger. 2/4"
73,Russia’s despicable attacks against innocent civilians in Irpin and Bucha are yet more evidence that Putin and his army are committing war crimes in Ukraine. 1/4
74,"The UK will continue to step up military, economic and diplomatic support, including further ramping up sanctions to increase the economic pressure on Putin’s war machine while Russian troops remain on Ukrainian territory. 2/2"
75,"This evening I spoke to President @ZelenskyyUa. I congratulated his brave armed forces for pushing back Russia’s invading army, but recognise the huge challenges they face and terrible suffering being inflicted on Ukraine’s civilians. 1/2"
76,"Today is World Autism Awareness Day, and I’ve been meeting with families and staff at the Centre for ADHD &amp; Autism Support in my constituency. 
 
Together, we can ensure that every child and adult with autism in this country is supported &amp; empowered to reach their full potential. https://t.co/346slZxIqN"
77,"On this day forty years ago the Argentine military junta invaded and occupied the Falkland Islands.
 
This spring we will thank and remember all those who fought and died to liberate these islands and their people. Our commitment to them is as steadfast as it was in 1982. https://t.co/qNLI9uceFF"
78,"Saddened to see the aftermath of the fire in Hargeisa with such destruction in the open market that is the economic heart of the city, affecting many small and family enterprises.

Your city will rise again and the UK will do what we can to support Somaliland’s rebuilding effort."
79,"Ramadan Mubarak to all the British Muslims and Muslims around the world preparing for Islam’s holiest month of the year. 

#Ramadan #RamadanMubarak https://t.co/aBuQP2Wbtr"
80,"I welcome the announcement of a two-month truce in Yemen by @OSE_Yemen.

We now have a window of opportunity to finally secure peace and end the humanitarian suffering – I urge all parties to work towards a lasting political solution."
81,"We’re making work pay with a £1,000 salary boost for full time workers on the National Living Wage – the largest ever cash increase.

From today around 2.5 million people across the UK will benefit from the increases to the National Minimum Wage and National Living Wage. https://t.co/VrmnoSuIie"
82,"RT @LiamFox: BREAKING NEWS: The #DownSyndromeBill has completed its final stage in the @UKHouseofLords, meaning it has now passed both hous…"
83,RT @10DowningStreet: The UK is supporting Ukraine with lethal defensive military aid in its fight for freedom against Russia’s unprovoked a…
84,"RT @BorisJohnson: I’m proud that some of Australia’s leading businesses have chosen to invest over £28 billion in clean, green technology a…"
85,"The Queen’s Green Canopy tree-planting initiative is a fantastic way to celebrate Her Majesty’s 70 years of unbelievable service to our country. 

Thank you to all the families, schools and community groups who have got involved.

@QGCanopy https://t.co/PoqZuKCiia"
86,"I’m proud that some of Australia’s leading businesses have chosen to invest over £28 billion in clean, green technology and infrastructure here in the UK.

This is Global Britain in action. 

https://t.co/2zOCOWbW2l

🇬🇧🇦🇺 https://t.co/MltQAq3iiG"
87,"This is fantastic news for our country.

The investments announced by Australian businesses today will turbocharge our plans to level up and create growth and prosperity in every part of the UK. https://t.co/y6K5DFVhnb"
88,RT @trussliz: Today we have unlocked new legal powers to prohibit maintenance on luxury jets and superyachts owned by sanctioned Russian ol…
89,"Sharing this very intimate story would have taken an immense amount of courage. Thank you @JamieWallisMP for your bravery, which will undoubtedly support others.

The Conservative Party I lead will always give you, and everyone else, the love and support you need to be yourself. https://t.co/Y7VjQOMgkO"
90,"Discussed the ongoing need to support and sustain Ukraine this afternoon with @POTUS, @EmmanuelMacron, @OlafScholz and Prime Minister Draghi.
 
There will be no let up in our resolve until aggression against Ukraine ends."
91,"President @ZelenskyyUa updated me today on the humanitarian situation in Mariupol, as well as the current negotiations with Russia.

The UK will continue to step up our efforts to help Ukraine defend itself from aggression."
92,"If your child falls behind in maths or English, we are asking schools to intervene and help them get them back on track.
 
That’s our pledge to every parent. 
 
It’s part of the central mission of this government: to unite and level up across the country. https://t.co/6AFzuoCGOM"
93,"RT @nadhimzahawi: Today, I am publishing my brand new Schools White Paper 🏫👩🏽🧑🏻‍🏫

This will deliver for every child, parent and family - f…"
94,"I fully condemn the latest Houthi attack against critical sites in Saudi Arabia, including in Jeddah. These strikes put civilian lives at risk and must stop."
95,"RT @10DowningStreet: The UK is providing military, humanitarian and economic support to Ukraine as it stands against Russia’s brutal onslau…"
96,"We’ve set out our plans for 300,000 more EV charge points across the UK.

As we press on with our Green Industrial Revolution, we’re accelerating the transition to electric vehicles, and transforming our national infrastructure to make it even easier to go electric. https://t.co/vGgrenzxFY"
97,"The instincts of this country are to be as generous as possible to those fleeing Putin's barbaric invasion.

It's fantastic news that over 20,000 Ukraine Family Scheme visas have been granted so far. https://t.co/A1ZVd0ya3B"
98,"RT @10DowningStreet: We stand with the people of Kyiv, of Mairupol, of Lviv and Donetsk. The people of Ukraine will prevail and Putin must…"
99,"RT @10DowningStreet: The United Kingdom will work with our allies to step up military and economic support to Ukraine, strengthening their…"
100,"The UK, working with our allies and partners, will continue to support Ukraine and stand against tyranny. We will win together. 6/6"
101,"Vladimir Putin is already failing in Ukraine. The Ukrainian people have shown themselves to be extraordinarily brave and tenacious in defending their homeland, in the face of an unprovoked onslaught. 5/6"
102,"The UK will also provide an additional £4.1 million for the BBC World Service to tackle disinformation in Russia and Ukraine, as well as new financial and policing support for the International Criminal Court’s investigation into war crimes. 4/6"
103,"We're providing £25 million in financial backing for the Ukrainian military, which is on top of the £400 million we've committed in humanitarian and economic aid. 3/6"
104,"The UK will provide an additional 6,000 missiles to Ukraine, in addition to the 4,000 NLAW's and Javelin missiles already supplied.

Lethal defensive military aid, including Starstreak high-velocity anti-air missiles, will help Ukrainians continue to defend themselves. 2/6"
105,"I’m at @NATO where I’ll be urging our allies and partners to step up military and economic support to Ukraine, strengthening their defences as they turn the tide in this fight. We cannot and will not stand by while Russia grinds Ukraine’s towns and cities into dust. 1/6"
106,"The UK stands with Ukraine, now and in the future. As my friend @ZelenskyyUa says: we will win together. https://t.co/LABQs8fFpE"
107,"In 2019 I promised to equalise National Insurance and Income Tax starting thresholds – today we deliver on that promise. 

From July people can earn £12,570 a year without paying any tax – that's £330 more in people's pockets.

#SpringStatement2022 https://t.co/9dPUaawqIv"
108,RT @RishiSunak: It's 6pm - the biggest cut to all fuel duty rates ever has just come into effect. #SpringStatement2022 https://t.co/zd16vQ7…
109,"I spoke to President @ZelenskyyUa and reiterated the UK’s horror at the bombardment of Ukraine and admiration for his armed forces. 

At tomorrow’s G7 &amp; NATO meetings I’ll be urging international partners to send more defensive lethal aid to Ukraine and step up pressure on Putin. https://t.co/g5jWRLYBTp"
110,"Those lost to Covid will never be out of our hearts and minds, and today we reflect as a nation.

The National Day of Reflection is a chance to come together, mourn, and offer our support and sympathies to all those grieving, and to thank those who cared for us throughout. https://t.co/mGoYeWkkS4"
111,"We're cutting taxes for hardworking people:
 
- Matching NICs and Income Tax thresholds so you don't pay tax on the first £12,570 you earn
- Cutting fuel duty by 5p a litre
- Cutting taxes for business
- Reducing the basic rate of income tax to 19% in 2024, a cut for 30m people https://t.co/EQB96NZIZY"
112,RT @RishiSunak: Watch live as I set out my plan for a stronger and more secure economy in the #SpringStatement2022. https://t.co/miCIyHPP24
113,"RT @RishiSunak: Today I will deliver a Spring Statement that builds a stronger, more secure economy for the United Kingdom.

Watch live her…"
114,"The UK &amp; Ireland bid for the UEFA Euro 2028 has this government’s full backing.

Our world-class stadiums and passionate fans stand ready to host one of the world’s greatest sporting events.

Let’s bring football home. https://t.co/QWTL3muayA"
115,"This is fantastic news and a very welcome boost to our steel and aluminium industries.

Thank you @AnnieTrev and team for securing this bespoke agreement with our American friends. https://t.co/Ee56hx8AFK"
116,"Today @narendramodi and I spoke about the grave situation in Ukraine and agreed its sovereignty must be respected.

The UK-India relationship continues to go from strength to strength, and we'll build on our trade, security &amp; business ties in the coming weeks and months."
117,"An appalling tragedy. Boris survived four concentration camps &amp; dedicated his life to ensuring the horrors of Nazism wouldn't be repeated.

Putin's claim that his invasion of Ukraine is 'de-Nazification' is a grotesque lie. Instead we're seeing the bombardment of innocent people. https://t.co/283da6ygmZ"
118,"Five years on from the tragedy in Westminster, we celebrate the lives of the victims &amp; extraordinary heroism of PC Palmer. They live on in all our hearts.

The selflessness of those who rushed to the aid of strangers that day represents the spirit of this unique, fantastic city. https://t.co/WIPodTdELI"
119,"Ahead of the NATO and G7 meetings this week, I spoke with Quint leaders to discuss our ongoing military, diplomatic and economic support for Ukraine.

Together, we need to maintain the pressure on Russia’s barbaric invasion and ensure #PutinMustFail.

🇬🇧🇺🇸🇫🇷🇩🇪🇮🇹 https://t.co/dEF0Yjq917"
120,"I spoke to @KlausIohannis earlier and welcomed Romania's swift response to the humanitarian crisis. We also discussed the impact of Putin’s invasion on regional stability. 

I look forward to meeting the President in person at the @NATO summit this week."
121,"This World Down Syndrome Day, I’d like to thank @LiamFox for his work on a world-first piece of legislation to improve opportunities, provision and outcomes for people with Down syndrome."
122,Terrible news about the China Eastern Airlines flight MU5735. My thoughts are with the families of all those caught up in this tragedy and the search and rescue teams currently responding.
123,"I spoke to President @ZelenskyyUa this afternoon to set out how I will be working to advance Ukraine’s interests at meetings of NATO and the G7 this week. 

The UK will continue to step up military, economic and diplomatic support to help bring an end to this terrible conflict."
124,"Nowruz Pîroz to everyone who is celebrating around the world today, including our Afghan friends marking their first Nowruz here in the UK. 

I’d like to send my warmest wishes to you and your families."
125,"Thank you @First_News for putting important questions to me this week on the war in Ukraine, and to schools across the UK who've been doing brilliant work raising money for the crisis.
 
Please keep doing what you’re doing. Help where you can. Stay informed. #StandWithUkraine https://t.co/ny5CU6L1Xo"
126,"RT @10DowningStreet: We #StandwithUkraine, its people and its democratically-elected government.

We're providing economic, humanitarian an…"
127,RT @Conservatives: 🔵 LIVE: Prime Minister Boris Johnson at #CPSC22 https://t.co/98PObrJztR
128,"It’s fantastic to be back in Blackpool’s historic Winter Gardens for #CPSC22.

Follow @Conservatives to watch my speech live at 11:45AM tomorrow. https://t.co/hRWQdL513x"
129,"I spoke to President @ZelenskyyUa and praised the steadfast resistance of the Ukrainian people in the face of aggression.

The UK stands with Ukraine – we will send further defensive aid and they have our full backing in the negotiations."
130,"We are committed to supporting British science this week and every week so that together we can restore and confirm our place in the world as a true science superpower.

#BritishScienceWeek https://t.co/MD8Ps1MEJH"
131,"This #RedNoseDay thousands of people are coming together, having fun and raising money for good causes. Well done to everyone getting involved.

Details about government funding for @comicrelief's important international work will be announced during tonight’s show on @BBCOne."
132,"Honoured to meet Ukrainian MPs @lesiavasylenko, @Aly_shkrum, @mezentseva_dep, and Olena Khomenko in Downing Street today.

Putin’s barbaric invasion of Ukraine is a clear violation of the democracy each of them represent. Ukraine's freedom &amp; independence must be restored 🇺🇦🇬🇧 https://t.co/hprk5KOfPP"
133,"The story of the Jewish festival of Purim reminds us that tyrants who seek to destroy the innocent do not get away with it. 

On this auspicious day celebrating peace and freedom I know prayers will be with President Zelenskyy and all Ukrainians as they fight for freedom."
134,"We need to work together with partners around the world to help stabilise global energy markets, massively invest in renewable technologies and protect UK consumers.

That’s how we can stand up to Putin’s blackmail. https://t.co/TPh1Aw0CCE"
135,"RT @RishiSunak: To further cripple Putin's illegal war in Ukraine, we are freezing all tax cooperation with Russia and Belarus.

This will…"
136,"The ability of a free press to hold the powerful to account is fundamental to our democracy.

We must put a stop to oligarchs and the super-rich abusing our legal system to silence critics. https://t.co/zcM3tXAxBy"
137,RT @10DowningStreet: Prime Minister @BorisJohnson wishing a very happy #StPatricksDay to everyone celebrating today! https://t.co/L0hBH1fpaT
138,RT @trussliz: Great to see both Anoosheh and Nazanin in such good spirits. An emotional moment for both families as they welcome them home.…
139,"I pay tribute to the tireless efforts of those who have worked for six years to make today's events possible. To the @FCDOGovUK officials, our Ambassadors in Iran and of course to my successors as Foreign Secretary @Jeremy_Hunt, @DominicRaab and @trussliz."
140,"The release of Nazanin Zaghari-Ratcliffe and Anoosheh Ashoori, and the furlough of Morad Tahbaz are huge achievements for British diplomacy."
141,RT @trussliz: The release of our British nationals from detention in Iran is news the whole country can rejoice in. I’m sure we all share i…
142,The UK has worked intensively to secure their release and I am delighted they will be reunited with their families and loved ones.
143,"I am very pleased to confirm that the unfair detention of Nazanin Zaghari-Ratcliffe and Anoosheh Ashoori in Iran has ended today, and they will now return to the UK."
144,"Great news that Alfanar Group is investing £1 billion in the Teesside Lighthouse Green Fuels Project, creating hundreds of jobs to produce sustainable aviation fuel from waste, with the potential to reduce emissions by 80% compared to their fossil fuel equivalent. https://t.co/VldABFoYue"
145,"We face a new reality, which we have to confront together with our allies.

I'm visiting Saudi Arabia and the United Arab Emirates, who are key partners in ensuring regional security and stabilising global energy markets after Russia’s unprecedented, brutal and illegal invasion. https://t.co/ILNwWHnEtm"
146,"The Joint Expeditionary Force is determined to do everything we can to ensure that Putin fails in Ukraine.
 
#PutinMustFail https://t.co/TF9XMM9SW8"
147,"RT @10DowningStreet: Leaders' statement from today's meeting of the Joint Expeditionary Force ⬇️

#JEF"
148,"It’s fantastic that over 100,000 people and organisations have recorded their interest in supporting Ukrainians fleeing the war through the Homes for Ukraine scheme.

Thank you to everyone across the country who has stepped up to offer their help so far. 

#StandWithUkraine https://t.co/cZWCHyLoZT"
149,"President @ZelenskyyUa has mobilised world opinion against the brutality of Vladimir Putin. 
 
We will continue to support him and his people –tightening economic sanctions and providing support to help Ukrainians protect themselves from bombardment. https://t.co/wBDaGNKtXH"
150,"It is a huge honour to welcome Nordic and Baltic partners of the Joint Expeditionary Force to the UK. 

We’ll work together to bolster European security and ensure we emerge from this crisis stronger and more united than before. https://t.co/xlgJ2pq3ae"
151,"We'll continue to back them in building up our domestic energy security, where neither the UK nor our allies can be blackmailed by the likes of Putin, and in accelerating some of the solutions we need to reach net zero, from low-carbon hydrogen to carbon capture and storage. 2/2"
152,"Good to meet with leaders from the oil and gas industry today – which has an important part in producing the energy we need to move away from Russian hydrocarbons and transition to a more stable, sustainable and cleaner energy future. 1/2 https://t.co/D9v467IOiw"
153,"RT @grantshapps: TRAVEL UPDATE

All remaining Covid travel measures, including the Passenger Locator Form and tests for all arrivals, will…"
154,"We celebrate our Commonwealth family and give thanks for the dedication and service of Her Majesty The Queen.

We will work with the whole Commonwealth to promote prosperity and strengthen democracy and peace around the world. https://t.co/ytrrRiyG5b"
155,"RT @nadhimzahawi: I’m supporting the brilliant school campaign from @First_News and @DECappeal, to support and raise vital funds for the pe…"
156,"I congratulated Korean President-elect Yoon Suk-yeol this morning on his successful election. Together we'll deepen cooperation between our countries. 

We agreed that Russia's bombardment of Ukraine is a threat to the values of our countries and an attack on freedom &amp; democracy."
157,"I am hugely grateful to our NHS staff, partners and Polish friends for their support in bringing Ukrainian children who need lifesaving medical care to the UK. 

We will do all we can to support them whilst they continue their critical cancer treatment.

https://t.co/d0fitRtTtV"
158,"Putin’s barbaric actions murdering Brent Renaud and other innocent civilians are testing not just Ukraine but all of humanity. 

Speaking to President @ZelenskyyUa I assured him that we will continue to do all that we can to bring an end to this disastrous conflict."
159,"Looking forward to welcoming Nordic and Baltic leaders to the UK this week.

European security has been shaken by Russia’s attack on Ukraine. We will take action to ensure we're insulated from Russian interference, emerging stronger and more united than before."
160,"RT @10DowningStreet: Today Prime Minister @BorisJohnson met with Taoiseach @MichealMartinTD. 

They discussed the intensification of Russia…"
161,"Good to meet with Taoiseach @MichealMartinTD at Twickenham today. A hard fought match by England but an excellent, determined performance from Ireland for the win. Many congratulations to the team.

Our countries are united in our support for Ukraine. https://t.co/weNUbQgV53"
162,"RT @10DowningStreet: The PM &amp; fellow @G7 leaders have agreed to take steps to deny Russia ‘Most Favoured Nation’ status, meaning tariffs &amp;…"
163,RT @10DowningStreet: We have announced further sanctions targeting members of the Russian Parliament who have been aiding and abetting Puti…
